'match_id','hero_id','account_id','net_worth','kills','deaths','hero_damage','gold_per_min','assists','xp_per_min','kills','last_hits','tower_damage','obs_placed','roshans_killed'
6879555111,10,1422504725.0,8151,0,7,13141,366,2,491,0,145,40,,
6879555111,20,,4082,1,11,12422,195,6,239,1,18,20,,
6879555111,93,179946063.0,16375,13,1,16690,594,14,638,13,163,9064,,
6879555111,74,205584836.0,17699,9,2,23699,645,19,730,9,170,6801,,
6879555111,91,,8328,1,5,4564,323,31,542,1,17,1177,,
6879555111,86,,9294,4,1,15191,354,21,484,4,45,477,,
6879555111,104,,15488,15,1,22818,560,14,624,15,121,13747,,
6879554915,27,459432625.0,103,1,15,5546,178,4,186,1,38,0,,
6879554915,44,133105365.0,7793,3,4,4932,288,3,326,3,58,0,,
6879554915,120,1258551682.0,8918,3,12,10142,405,5,570,3,90,0,,
6879554915,113,1009032141.0,14011,5,9,18437,619,3,600,5,144,761,,
6879554915,136,142738704.0,4000,1,13,2938,198,3,347,1,4,0,,
6879554915,86,,10198,11,4,31844,419,23,575,11,46,749,,
6879554915,64,137341684.0,9371,3,3,12635,376,28,529,3,43,10051,,
6879554915,106,104811071.0,15748,20,2,28077,594,12,684,20,104,3121,,
6879554915,8,115045630.0,20637,15,0,19589,762,9,1110,15,250,9902,,
6879554915,96,,14559,3,4,11938,570,16,650,3,214,2714,,
6879554410,137,1194834698.0,8739,6,5,11270,433,6,474,6,79,3101,,
6879554410,6,,11782,8,2,14046,555,8,508,8,126,9208,,
6879554410,5,,5716,8,1,9163,325,8,439,8,27,1131,,
6879554410,88,431282099.0,5098,3,4,6933,262,6,368,3,11,0,,
6879554410,7,332738208.0,7819,3,2,6768,400,1,398,3,88,5280,,
6879554410,62,,5256,4,4,4053,421,3,315,4,29,0,,
6879554410,120,890167154.0,3625,0,7,5600,270,7,332,0,49,0,,
6879554410,90,,8421,2,6,6940,426,5,289,2,27,0,,
6879554410,4,893526445.0,2406,1,7,5342,277,4,347,1,40,29,,
6879554410,86,,4966,4,4,3648,307,3,165,4,7,0,,
6879553918,63,430364513.0,13198,8,4,15570,470,17,606,8,119,7575,,
6879553918,75,,9276,7,4,14673,377,17,502,7,54,1657,,
6879553918,81,,14129,7,3,15416,507,9,633,7,141,8110,,
6879553918,72,,12018,6,3,15182,424,10,555,6,101,5056,,
6879553918,71,69969920.0,8297,6,3,10412,310,19,466,6,27,1495,,
6879553918,48,,9491,7,9,22245,364,6,498,7,97,0,,
6879553918,26,,4571,2,4,5771,184,5,267,2,14,0,,
6879553918,44,233318629.0,10954,3,7,7576,384,3,447,3,147,529,,
6879553918,123,,4787,1,6,13052,205,6,279,1,22,0,,
6879553918,28,,8424,3,8,7788,322,6,398,3,92,0,,
6879553611,28,,3608,3,3,4414,429,3,261,3,40,1021,,
6879553611,52,386507304.0,4475,0,1,978,403,6,294,0,35,6491,,
6879553611,8,,4005,3,2,1752,364,3,192,3,25,3509,,
6879553611,27,1041744794.0,4694,3,0,2190,401,3,410,3,31,4392,,
6879553611,36,,4455,0,3,1611,374,5,288,0,55,2239,,
6879553611,91,,2411,0,2,518,181,1,278,0,16,232,,
6879553611,83,27339544.0,4425,1,1,2340,367,3,308,1,54,30,,
6879553611,67,,2572,3,2,3112,203,2,284,3,1,0,,
